day,datetime,title,stage,location,event_type,track,speakers,description,description_zh,url
"Mon, 10 Nov","Mon, 10 Nov | 9:00 AM - 10:30 AM",Trusted data corridors: How will we get there – designing a roadmap for the future,Insights Forum,Design Thinking Room,Invite-Only,Next-Gen Transactions,Doug Campbell-Pitt; Derek Ho; Hadri Sopri; Nydia Ngiow; Prabhat Bassi; Rishiraj Singh; Royston Ng; Yeong Zee Kin; Jo Yeo,"Cross-border data flows are the invisible rails powering the digital economy including digital transactions, financial services and digital payments.

Yet, there are competing priorities and policies that manage this flow of data across the region.

How do we bridge these divides and build _trusted data corridors_ that can help unlock the region’s economic potential and allow businesses to innovate, expand and compete while respecting national data rules?

This interactive, audience hands on deck, 90-minute brainstorming session brings together senior leaders from financial services, fintechs, regulators, and policymakers to go beyond theory and co-create solutions through case studies and small-group problem-solving to identify actionable solutions, and chart the next steps toward seamless, trusted cross-border data transfers in ASEAN and across regions.

Join us to design the future of trusted cross border data flows to supercharge trade, commerce and financial services. Additional registration is required to participate in this design-thinking workshop. Write to insights@gftn.com if you wish to reserve a spot.","跨境數據流動是驅動數位經濟的隱形軌道，涵蓋數位交易、金融服務與數位支付等各個層面。

然而，在管理區域數據流動方面，各方存在相互競爭的優先考量與政策取向。

我們如何彌合這些分歧，建立_可信賴的數據通道_，從而釋放區域經濟潛力，讓企業得以創新、拓展版圖並提升競爭力，同時尊重各國的數據法規？

這場互動式、全員參與的90分鐘腦力激盪工作坊，匯聚來自金融服務、金融科技、監管機構及政策制定者的資深領袖，超越理論層次，透過案例研究與小組問題解決，共同創建解決方案，找出可付諸實施的行動方案，並規劃推動ASEAN及跨區域無縫、可信賴的跨境數據傳輸的下一步。

誠邀您加入，共同設計可信賴的跨境數據流動的未來，為貿易、商業及金融服務注入強大動能。參與本設計思維工作坊須另行報名。如欲預留名額，請致函 insights@gftn.com。",https://www.fintechfestival.sg/agenda/agn90-trusted-data-corridors-how-will-we-get-there-designing-a-roadmap-for-the-future
"Mon, 10 Nov","Mon, 10 Nov | 9:00 AM - 10:00 AM",Evolution vs. Reinvention: Shaping the Future of Global Commerce - Powered by Amazon,Insights Forum,"Workshop Room 1, Sands Expo & Convention Centre, Level 4",Open,Others,Camilla Bullock; Kati Suominen; Rachel Lee; Tony Mclaughlin; Amira Karim; Kennie Ong,"The curation of content and speakers was wholly managed by Amazon and does not reflect the views of the organisers or its staff.

As global commerce evolves, persistent frictions in cross-border payments continue to hinder SME growth and innovation. This closed-door policy dialogue confronts a critical choice: should we evolve existing rails or reinvent global payments infrastructure altogether? Featuring two lightning talks and a dynamic moderated debate, this session explores competing policy visions – from improving instant payments to enabling stablecoins and programmable finance. Participants will gain insight into real-world challenges, policy trade-offs, and future-ready strategies to foster inclusion, trust, and innovation in global commerce.","本場次的內容策劃與講者遴選由 Amazon 全權負責，不代表主辦方或其工作人員的立場。

隨著全球商業格局持續演變，跨境支付中長期存在的摩擦仍在阻礙 SME 的成長與創新。這場閉門政策對話正面回應一個關鍵抉擇：我們究竟應該升級現有支付軌道，還是徹底重塑全球支付基礎設施？本場次以兩段閃電演講搭配精彩的主題辯論為主軸，探討各方競爭的政策願景——從提升即時支付效能，到推動穩定幣與可程式化金融的落地應用。與會者將深入了解現實挑戰、政策取捨，以及促進全球商業包容性、建立信任、推動創新的前瞻策略。",https://www.fintechfestival.sg/agenda/agn103-evolution-vs-reinvention-shaping-the-future-of-global-commerce-powered-by-amazon
"Mon, 10 Nov","Mon, 10 Nov | 9:00 AM - 1:00 PM",AIFC Connect: Singapore 2025,Insights Forum,Launchpad Room,Open,Others,Bakhtiyar Tleubekov; Baurzhan Kankin; Evgeniya Bogdanova; Renat Bekturov; Askar Kuttykadam; Anastassiya Kim; Arman Batayev; Athena Miao; Berdigaliev Ramazan; Diana Ablyakimova; James Tan; Olzhas Zhiyenkul; Talgat Amanbayev; Brett Miranda; Holly Fang; Aliya Kydyrbekova,"The curation of content and speakers was wholly managed by AIFC and does not reflect the views of the organisers or its staff.

Join us at AIFC Connect: Singapore 2025, an exclusive event spotlighting Kazakhstan’s investment potential and financial market opportunities.

Explore the role of the Astana International Financial Centre (AIFC) in attracting global capital, structuring deals, fostering innovation in fintech and digital assets, and supporting foreign investors through world-class legal and regulatory frameworks.

Gain firsthand insights from businesses operating within the AIFC and discover current investment opportunities. Discover emerging opportunities across Kazakhstan and Central Asia in asset management, capital markets, VC, fintech and innovation.

Agenda

09:00am – Registration and Welcome coffee

.

09:30am – Opening Remarks

Speaker: Mr. Askar Kuttykadam, His Excellency Ambassador of the Republic of Kazakhstan to Singapore

.

09:35am – Presentation: AIFC Overview and Key Benefits

Speaker: Bakhtiyar Tleubekov, Chairman of the Management Board, AIFC Authority

.

09:55am – Keynote: Understanding Astana Financial Services Authority: Overview, Role and Key Functions

Speaker: Ms. Evgeniya Bogdanova, CEO, AFSA

.

10:05am – Keynote: Kazakhstan economic outlook

Speaker: Diana Ablyakimova, Foreign Representative in Singapore, Kazakh Invest

.

10:10am – Fireside chat with Quest Ventures - Bridging APAC and Eurasia: Unlocking Growth Through AIFC

Speakers: Baurzhan Kankin, Chief Clients Officer, AIFC Authority, James Tan, Managing Partner, Quest Ventures

.

10:30am – Keynote: Unique investment opportunities in real assets

Speaker: Anastasiya Kim, CFO, BI Group South

.

10:50am – Coffee break

.

11:10am – Showcase: The Future of Finance: Exploring Fintech Innovations – Part 1

.

11:50am – Coffee break

.

12:10pm – Showcase: The Future of Finance: Exploring Fintech Innovations – Part 2

.

12:50pm - Closing Remarks

Speakers: Baurzhan Kankin

.

1:00pm - Networking and Refreshments session

.

2:00pm - Event ends

Interested participants from Insights Forum may register for the event via this link:

For more information, please visit the event landing page here:","本場次的內容策劃與講者遴選由 AIFC 全權負責，不代表主辦方或其工作人員的立場。

誠邀您蒞臨 AIFC Connect: Singapore 2025，這是一場聚焦哈薩克投資潛力與金融市場機遇的專屬盛會。

探索阿斯塔納國際金融中心（AIFC）在吸引全球資本、構建交易架構、推動金融科技與數位資產創新，以及透過世界級法律與監管框架支持外國投資者方面所扮演的重要角色。

從在 AIFC 運營的企業第一手獲取洞見，發掘當前的投資機會，並探索哈薩克及中亞地區在資產管理、資本市場、創業投資、金融科技與創新領域的新興商機。

議程

上午09:00 – 報到及迎賓咖啡

.

上午09:30 – 開幕致辭

講者：Askar Kuttykadam 先生，哈薩克共和國駐新加坡大使閣下

.

上午09:35 – 簡報：AIFC 概況及主要優勢

講者：Bakhtiyar Tleubekov，AIFC Authority 管理委員會主席

.

上午09:55 – 主題演講：認識阿斯塔納金融服務管理局：概況、職能與主要業務

講者：Evgeniya Bogdanova 女士，AFSA 執行長

.

上午10:05 – 主題演講：哈薩克經濟展望

講者：Diana Ablyakimova，Kazakh Invest 新加坡駐地代表

.

上午10:10 – 與 Quest Ventures 的爐邊對談——連結亞太與歐亞：透過 AIFC 解鎖成長動能

講者：Baurzhan Kankin，AIFC Authority 首席客戶官；James Tan，Quest Ventures 管理合夥人

.

上午10:30 – 主題演講：實體資產的獨特投資機遇

講者：Anastasiya Kim，BI Group South 財務長

.

上午10:50 – 咖啡休息

.

上午11:10 – 展示：金融的未來：探索金融科技創新——第一部分

.

上午11:50 – 咖啡休息

.

下午12:10 – 展示：金融的未來：探索金融科技創新——第二部分

.

下午12:50 – 閉幕致辭

講者：Baurzhan Kankin

.

下午1:00 – 交流聯誼及茶點時間

.

下午2:00 – 活動結束

Insights Forum 有意參加的與會者可透過以下連結報名：

如需更多資訊，請瀏覽活動專頁：",https://www.fintechfestival.sg/agenda/agn111-aifc-connect-singapore-2025
"Mon, 10 Nov","Mon, 10 Nov | 9:00 AM - 10:30 AM",[Invite-Only] Artificial Intelligence – Evaluation tools and governance frameworks,Insights Forum,"Roundtable Room 1, Sands Expo & Convention Centre, Level 4",Invite-Only,Roadmap for AI and Quantum,Daniel Ross; Deep Thomas; Lim Tuang Lee; Prof. Rama Cont; Dawn Song; Joe Perry; Alp Eroglu,"The session is intended to provide regulators with an understanding of developments in AI applications and governance in financial services, with a focus on:

•⁠ ⁠Designing a supervisory toolkit for evaluating AI systems in financial institutions.

•⁠ ⁠How AI risks and oversight approaches differ between financial institutions, including use of ‘human-in-the-loop’ processes.

•⁠ ⁠How supervisory approaches can evolve with technological advances.

•⁠ ⁠Examples of effective supervisory practices.","本場次旨在協助監管機構深入了解 AI 在金融服務領域的應用發展與治理現況，重點涵蓋以下議題：

•⁠ ⁠設計評估金融機構 AI 系統的監管工具箱。

•⁠ ⁠不同金融機構在 AI 風險及監管方式上的差異，包括「人工在迴路」流程的應用。

•⁠ ⁠監管方式如何隨技術進步而演進。

•⁠ ⁠有效監管實踐的案例分享。",https://www.fintechfestival.sg/agenda/agn204-invite-only-artificial-intelligence-evaluation-tools-and-governance-frameworks
"Mon, 10 Nov","Mon, 10 Nov | 9:15 AM - 10:45 AM",Privacy and compliance in next-gen FMI: Beyond the binary,Insights Forum,"Roundtable Room 2, Sands Expo & Convention Centre, Level 4",Invite-Only,Securing the Future,Candace Kelly; Jay Prakash; Jessica Rusu; Khai Pham; Naveen Mallela; Chris Brummer; Qaiser Anwarudin; Siddharth Shetty; Sonja Davidovic; Vincent Pek; Friedrich Klinger; Raunak Mittal,"Emerging technologies such as Multi-Party Computation (MPC), Zero-Knowledge Proofs (ZKPs), and Trusted Execution Environments (TEEs) are enabling new ways to embed compliance directly into cross-border transactions — without compromising data privacy or increasing operational overhead.

This session will convene experts from central banks, financial institutions, and technology providers to explore:

• What constitutes a “regulatorily acceptable proof” and how such proofs can be designed for auditability, durability, and policy alignment.

• How programmable compliance can be benchmarked against traditional approaches in terms of efficiency, cost, and effectiveness.

• What codification and design principles are needed to translate legal policies into machine-readable logic while preserving trust and legal defensibility.

• The fundamental tension between compliance needs and stronger privacy guarantees. How are these challenges intensified in cross-border context.

• Regulatory requirements decoded. What are the compliance needs and how to move towards parameterization of compliance.

• Design options, privacy enhancing technologies and maturity levels, current state of the art and evolving trends.","多方安全計算（MPC）、零知識證明（ZKP）以及可信執行環境（TEE）等新興技術，正在開創全新途徑，將合規要求直接嵌入跨境交易之中——既不妥協數據隱私，也不增加營運負擔。

本場次將匯聚來自央行、金融機構及技術服務商的專家，共同探討：

• 何謂「監管可接受的證明」，以及如何設計兼具可稽核性、持久性與政策一致性的證明機制。

• 可程式化合規與傳統合規方式在效率、成本與效能上如何進行基準比較。

• 需要哪些編碼設計原則，才能在維護信任與法律可辯護性的同時，將法律政策轉化為機器可讀的邏輯。

• 合規需求與更強隱私保護之間的根本張力，以及這些挑戰在跨境情境下如何加劇。

• 解碼監管要求：合規需求為何，以及如何朝合規參數化方向邁進。

• 設計選項、隱私增強技術及其成熟度等級、當前最新發展趨勢。",https://www.fintechfestival.sg/agenda/agn72-privacy-and-compliance-in-next-gen-fmi-beyond-the-binary
"Mon, 10 Nov","Mon, 10 Nov | 9:30 AM - 11:00 AM",GFIN tokenisation: Global perspectives on evolving frameworks,Insights Forum,"Roundtable Room 3, Sands Expo & Convention Centre, Level 4",Open,Blueprint for Digital Assets,Camille Blackburn; Elisabeth Wallace; Haocong Ren; Jessica Yeung; Joseph Joshy C J; Mohamed Zohiri; Nicole Sandler; Nischint Sanghavi; Tom Duff Gordon; William Mason; Zach Masum; Alan Ainsworth; Colin Payne,"Tokenisation is reshaping the way financial markets think about assets, infrastructure, and regulation. This roundtable hosted by GFIN explores the regulatory lens on this transformation, examining the current landscape, the path to mass adoption, and the role global cooperation can play in shaping the future.

Objectives:","代幣化正在重塑金融市場對於資產、基礎設施與監管的思維方式。這場由 GFIN 主辦的圓桌會議，從監管視角出發，審視這場轉型的現況、邁向大規模採用的路徑，以及全球協作在塑造未來方面所能發揮的作用。

目標：",https://www.fintechfestival.sg/agenda/agn197-gfin-tokenisation-global-perspectives-on-evolving-frameworks
"Mon, 10 Nov","Mon, 10 Nov | 9:45 AM - 11:15 AM","Build local, connect global: Balancing between local approaches and cross-border linkages in global DPI development",Insights Forum,"Roundtable Room 4, Sands Expo & Convention Centre, Level 4",Invite-Only,Bridging the Financial Gap,Angelique Timmer; Abbas Albasha; Alexandra Hachmeister; Hortense Mudenge; Ivan Mortimer-Schutts; Julie Guetta; Mahesh Uttamchandani; Mathilde Bonneau; Sumnesh Joshi; Raadhika Sihin; Raphael Walker; Yogesh Hirdaramani,"Since 2023, the digital public infrastructure (DPI) movement has gained global momentum, driven by the promise of improving financial inclusion, strengthening public and private service delivery, and enabling innovation. DPI refers to foundational digital systems, such as digital identity, payments, and data exchange, that allow private innovation to flourish securely and efficiently on shared public rails. It is now a central feature of development and governance discourse.

The infrastructure-first Indian model is the most visible today. Yet Europe, Asia, Africa, and the private sector are charting alternative paths, grounded in local regulatory philosophies, technical architectures, and rollout strategies. At the same time, one of DPI’s greatest promises lies in its ability to scale, connect across borders, and simplify payments, verification, and data flows regionally and even globally.

This roundtable will tackle the core challenge facing countries that are experimenting with their approaches to DPI: how can technology, policy, and civil society leaders design locally attuned DPI systems that achieve adoption, while ensuring global interoperability and avoiding further fragmentation of the digital economy? Panelists will debate governance models and standards shaping the next generation of DPI, from the global interoperability question to the right public-private balance, and launch a report to frame a path forward.","自2023年以來，數位公共基礎設施（DPI）運動在全球範圍內迅速擴展，其推動力來自於對提升金融普惠性、強化公私部門服務供給及激發創新的美好願景。DPI 是指數位身份、支付及數據交換等基礎數位系統，使私人創新能夠在共用公共軌道上安全、高效地蓬勃發展，如今已成為發展與治理論述的核心議題。

目前最廣為人知的是以基礎設施優先為導向的印度模式。然而，歐洲、亞洲、非洲及私營部門正各自探索替代路徑，這些路徑植根於本地監管哲學、技術架構與推廣策略。與此同時，DPI 最大的潛力之一，在於其跨地區乃至全球範圍內擴展、互聯，以及簡化支付、身份驗證與數據流通的能力。

本圓桌會議將直面各國在探索 DPI 路徑時所面臨的核心挑戰：技術、政策及公民社會的領導者，如何設計出兼顧本地需求的 DPI 系統，在確保全球互通性的同時推動廣泛採用，並避免數位經濟進一步碎片化？與會者將就塑造下一代 DPI 的治理模式與標準展開辯論——從全球互通性問題到公私平衡的最佳取向——並發布一份報告，為未來的發展路徑提供指引。",https://www.fintechfestival.sg/agenda/agn69-build-local-connect-global-balancing-between-local-approaches-and-cross-border-linkages-in-global-dpi-development
"Mon, 10 Nov","Mon, 10 Nov | 10:30 AM - 11:30 AM",The Three Transformational Trends Reshaping Digital Finance - Powered by Banking Circle,Insights Forum,"Workshop Room 1, Sands Expo & Convention Centre, Level 4",Open,Others,Daniel Lee; Ryosuke Ushida,"The curation of content and speakers was wholly managed by Banking Circle and does not reflect the views of the organisers or its staff.

As digital assets move from experimentation to infrastructure, this closed-door workshop convenes senior leaders, policymakers, and institutional innovators to examine the next chapter of digital finance. Designed for decision-makers shaping regulatory frameworks, market infrastructure, and institutional strategy, this session will unpack three macro trends that are redefining how capital, liquidity, and trust are built in the digital economy.

What to Expect:

This is not a theoretical discussion. You’ll hear directly from senior executives and policy architects who have led real-world rollouts across tokenization, decentralized infrastructure, and programmable payments. Their insights will be grounded in implementation experience, regulatory engagement, and institutional adoption.

1️⃣ Institutional Tokenization: Unlocking Equity Liquidity

Tokenization is enabling fractional ownership and 24/7 trading of traditionally illiquid assets — from private equity to pre-IPO giants like OpenAI. Hear from senior product leads and infrastructure heads who’ve moved from pilot to production, and are reshaping how capital is accessed and governed.

\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_

2️⃣ Decentralized Market Infrastructure

DEX platforms like Aster and Hyperliquid are evolving into programmable liquidity layers. This session explores how decentralized infrastructure is bridging tokenized assets with institutional-grade execution, custody, and compliance — led by founders and trading heads.

\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_

3️⃣ Programmable Payments for Institutions

Stablecoin-powered networks like BPN and CPN are transforming cross-border flows. Learn how banks, PSPs, and corporates are deploying programmable money for treasury, FX, and settlement — with insights from global payment architects and regulatory advisors.","本場次的內容策劃與講者遴選由 Banking Circle 全權負責，不代表主辦方或其工作人員的立場。

隨著數位資產從試驗探索走向正式基礎設施，這場閉門工作坊匯聚資深領袖、政策制定者及機構創新者，共同審視數位金融的下一個篇章。本場次專為主導監管框架制定、市場基礎設施建設及機構策略的決策者而設計，將深入剖析三大重塑數位經濟中資本、流動性與信任建構方式的宏觀趨勢。

精彩預告：

這不是一場紙上談兵的討論。您將直接聆聽資深高管與政策架構師的分享——他們曾主導代幣化、去中心化基礎設施及可程式化支付的真實落地專案。他們的洞見來自實施經驗、監管互動以及機構採用的第一線實踐。

1️⃣ 機構代幣化：解鎖股權流動性

代幣化正在實現傳統非流動性資產的碎片化持有與全天候交易——從私募股權到 OpenAI 等 Pre-IPO 巨頭。聆聽已從概念驗證走向正式上線的資深產品主管與基礎設施負責人分享，他們正在重塑資本的取用與治理方式。

\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_

2️⃣ 去中心化市場基礎設施

Aster 與 Hyperliquid 等 DEX 平台正演進為可程式化的流動性層。本場次探討去中心化基礎設施如何將代幣化資產與機構級執行、託管及合規能力相互橋接——由創辦人與交易主管共同主導討論。

\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_

3️⃣ 機構可程式化支付

BPN 和 CPN 等穩定幣驅動的網路正在變革跨境資金流動。了解銀行、支付服務商及企業如何將可程式化貨幣應用於財資管理、外匯及結算——由全球支付架構師與監管顧問分享實戰洞見。",https://www.fintechfestival.sg/agenda/agn104-the-three-transformational-trends-reshaping-digital-finance-powered-by-banking-circle
"Mon, 10 Nov","Mon, 10 Nov | 10:30 AM - 11:30 AM","The Future of Marketing: Agentic AI, Experience-Led Growth, and the Rise of the Performance Marketer - Powered by Adobe",Insights Forum,"Workshop Room 2, Sands Expo & Convention Centre, Level 4",Open,Others,Christopher Young; Clement Quek; Varun Kapoor,"The curation of content and speakers was wholly managed by Adobe and does not reflect the views of the organisers or its staff.

As financial institutions navigate a rapidly evolving digital landscape, marketing is undergoing a profound transformation. This session explores how agentic AI, real-time data, and experience-led strategies are reshaping the marketer’s role—from reactive campaign executor to proactive experience orchestrator.","本場次的內容策劃與講者遴選由 Adobe 全權負責，不代表主辦方或其工作人員的立場。

在金融機構加速駕馭瞬息萬變的數位環境之際，行銷正經歷一場深刻的轉型。本場次探討自主代理式 AI、即時數據與體驗驅動策略，如何重塑行銷人的角色——從被動的廣告活動執行者，蛻變為主動的體驗編排者。",https://www.fintechfestival.sg/agenda/agn118-the-future-of-marketing-agentic-ai-experience-led-growth-and-the-rise-of-the-performance-marketer-powered-by-adobe
"Mon, 10 Nov","Mon, 10 Nov | 10:30 AM - 11:30 AM",Agentic AI Transforming Insurance - Powered by Boston Consulting Group,Insights Forum,"Workshop Room 3, Sands Expo & Convention Centre, Level 4",Open,Others,Chakrarajan Srihari; Tarandeep Singh,"The curation of content and speakers was wholly managed by Boston Consulting Group and does not reflect the views of the organisers or its staff.

This workshop will cover:","本場次的內容策劃與講者遴選由 Boston Consulting Group 全權負責，不代表主辦方或其工作人員的立場。

本工作坊將涵蓋以下主題：",https://www.fintechfestival.sg/agenda/agn137-agentic-ai-transforming-insurance-powered-by-boston-consulting-group
