date,day,datetime,title,stage,location,event_type,track,speakers,description,description_zh,url
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 9:15 AM - 9:30 AM",Welcome to Singapore FinTech Festival 2026,Festival Stage,"Hall 1, Singapore Expo",Premium,Others,,Watch this space for more information.,更多資訊敬請期待。,https://www.fintechfestival.sg/agenda?session=AGND441-welcome-to-singapore-fintech-festival-2026
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 9:30 AM - 9:50 AM",Five Forces Rewiring the World: A Spotlight on the Geopolitical Rewiring,Festival Stage,"Hall 1, Singapore Expo",Premium,Geopolitical Rewiring,,"The integrated global marketplace of the past few decades is giving way to a world organised around trade corridors, capital flows and payment rails redrawn along geopolitical lines, as countries pursue resilience and economic sovereignty over open markets. This session maps where the new corridors are emerging and what is drawing capital and connectivity toward them rather than away. Attendees leave with a clearer sense of which regions and partnerships are worth building around now, ahead of the competition. One of the key questions the panel will look to dive deeper into: Which economic corridors will define the next decade of growth and investment?",過去數十年整合為一體的全球市場，正讓位給一個沿地緣政治界線重新劃定貿易走廊、資本流動與支付軌道的世界——各國把韌性與經濟主權看得比開放市場更重。本場次盤點新走廊正在何處成形，以及是什麼把資本與連結性吸引過去、而非帶離。與會者將更清楚看出，此刻該圍繞哪些區域與夥伴關係提前布局。講者將深入探討的關鍵問題之一：哪些經濟走廊會定義未來十年的成長與投資？,https://www.fintechfestival.sg/agenda?session=AGND329-five-forces-rewiring-the-world-a-spotlight-on-the-geopolitical-rewiring
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 10:10 AM - 10:40 AM",Towards New Economic and Financial Corridors,Festival Stage,"Hall 1, Singapore Expo",Premium,Geopolitical Rewiring,,"New economic corridors, regional payment systems and infrastructure investments are redrawing the map of global capital flows as countries prioritise resilience and sovereignty over open, integrated markets. This panel works through what it actually takes to build trusted cross-border partnerships and interoperable infrastructure inside corridors that are still forming. The discussion leaves the audience with a practical read on which regional alliances and rails are worth committing to now. One of the key questions the panel will look to dive deeper into: Can fintech remain neutral in an increasingly fragmented world?",新的經濟走廊、區域支付系統與基礎建設投資，正重新繪製全球資本流動的版圖——各國把韌性與主權置於開放整合市場之前。本場次探討在這些仍在成形的走廊之中，要建立互信的跨境夥伴關係與可互通的基礎建設，實際上需要什麼。討論將讓聽眾具體判斷，哪些區域聯盟與支付軌道值得現在就投入。講者將深入探討的關鍵問題之一：在日益分裂的世界裡，金融科技還能保持中立嗎？,https://www.fintechfestival.sg/agenda?session=AGND333-towards-new-economic-and-financial-corridors
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 10:40 AM - 11:00 AM",The Single Biggest Social Unrest: Closing the 800m Jobs Gap,Festival Stage,"Hall 1, Singapore Expo",Premium,Talent Rewiring,,"Governments now face a dual bind: rising unemployment alongside a widening skills shortage that education and training systems are struggling to close fast enough. This panel turns to how reskilling, job redesign and workforce planning can be shared across employers, educators and public institutions rather than left to any one of them. Attendees come away with a sharper view of where responsibility for building an AI-ready workforce actually sits. One of the key questions the panel will look to dive deeper into: What is the right split of responsibility between employers, universities, governments and multilaterals for closing the skills gap?",各國政府正面臨雙重難題：失業率上升的同時，技能缺口持續擴大，而教育與訓練體系的補位速度遠遠跟不上。本場次聚焦如何讓再培訓、職務再設計與人力規劃由雇主、教育機構與公部門共同承擔，而不是丟給其中任何一方。與會者將更清楚看出，打造具備 AI 能力的勞動力，責任究竟該落在誰身上。講者將深入探討的關鍵問題之一：在弭平技能缺口這件事上，雇主、大學、政府與多邊機構之間合理的責任分工是什麼？,https://www.fintechfestival.sg/agenda?session=AGND330-the-single-biggest-social-unrest-closing-the-800m-jobs-gap
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 11:00 AM - 11:30 AM",The Next Wave of Digital Finance Talent,Festival Stage,"Hall 1, Singapore Expo",Premium,Talent Rewiring,,"Across financial services, institutions are competing for scarce AI, cybersecurity and data talent while simultaneously reskilling existing staff and redesigning how work gets done. This panel works through what it takes to grow that talent locally, from training pipelines to public-private partnerships, rather than relying on imported expertise. It gives attendees practical models for building capacity that stays where it is built. One of the key questions the panel will look to dive deeper into: How do you build local capacity rather than importing or offshoring it?",整個金融服務業都在爭搶稀缺的 AI、資安與資料人才，同時還得為既有員工再培訓、重新設計工作方式。本場次探討要在本地培養這些人才需要什麼——從訓練管道到公私協力——而不是仰賴引進外部專才。內容將提供與會者實用的模式，打造留得住的在地能量。講者將深入探討的關鍵問題之一：如何培養在地能量，而不是靠引進人才或委外？,https://www.fintechfestival.sg/agenda?session=AGND331-the-next-wave-of-digital-finance-talent
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 11:30 AM - 12:00 PM",Towards New Operating Models in Financial Services,Festival Stage,"Hall 1, Singapore Expo",Premium,Talent Rewiring,,"Agentic AI is not only changing what work gets done inside a financial institution, it is changing who does it and how decisions get made, with flatter hierarchies and human-and-agent teams already appearing inside the fastest-moving organisations. This panel examines how far institutions can redesign reporting lines and decision rights before the technology outpaces the structure meant to govern it. It leaves the audience with a working view of what the enterprise of 2030 is likely to look like structurally. The tension underneath: operating models built for a pre-agentic institution are running up against decisions that can no longer wait for the organisation chart to catch up.",代理式 AI 改變的不只是金融機構內部「做什麼工作」，還包括「由誰來做」與「決策如何形成」——在腳步最快的組織裡，扁平化的層級與人機協作團隊已經出現。本場次檢視機構能把匯報線與決策權重新設計到什麼程度，才不會讓技術跑在管理結構之前。討論將讓聽眾對 2030 年的企業在組織結構上長什麼樣子，形成可操作的判斷。底層的張力在於：為「前代理式」機構設計的營運模式，正撞上一批無法再等組織圖追上的決策。,https://www.fintechfestival.sg/agenda?session=AGND334-towards-new-operating-models-in-financial-services
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 12:00 PM - 12:30 PM",Building Human Experiences with AI,Festival Stage,"Hall 1, Singapore Expo",Premium,Talent Rewiring,,"As agentic AI moves from pilot into real credit decisions, real money and real customers, institutions are under pressure to make those systems feel trustworthy and human rather than purely efficient. This panel looks at how design, governance and accountability choices shape whether a customer feels served by a system or processed by one. The audience leaves with a clearer sense of where human judgement still needs to sit inside an increasingly automated customer journey. The harder problem sits underneath: designing AI experiences that feel human risks quietly removing the humans from the loop altogether.",當代理式 AI 從試點走進真實的授信決策、真實的資金與真實的客戶，機構面臨的壓力是要讓這些系統令人信賴、有人味，而不只是有效率。本場次探討設計、治理與問責上的選擇，如何決定客戶感受到的是「被服務」還是「被處理」。聽眾將更清楚看出，在日益自動化的客戶旅程中，人的判斷還必須留在哪些環節。更棘手的問題藏在底下：把 AI 體驗設計得像真人，可能會在不知不覺間把真人整個移出流程。,https://www.fintechfestival.sg/agenda?session=AGND338-building-human-experiences-with-ai
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 12:25 PM - 12:30 PM",Welcome to Catalyst Stage - Day 1,Catalyst Stage,"Hall 3, Singapore Expo",Open,Others,,Watch this space for more information.,更多資訊敬請期待。,https://www.fintechfestival.sg/agenda?session=AGND446-welcome-to-catalyst-stage-day-1
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 12:25 PM - 12:30 PM",Welcome to FutureMatters Stage - Day 1,FutureMatters Stage,"Hall 5, Singapore Expo",Premium,Others,,Watch this space for more information.,更多資訊敬請期待。,https://www.fintechfestival.sg/agenda?session=AGND452-welcome-to-futurematters-stage-day-1
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 12:25 PM - 12:30 PM",Welcome to Impact Stage - Day 1,Impact Stage,"Hall 3, Singapore Expo",Open,Others,,Watch this space for more information.,更多資訊敬請期待。,https://www.fintechfestival.sg/agenda?session=AGND449-welcome-to-impact-stage-day-1
2026-11-18,"Wed, 18 Nov","Wed, 18 Nov | 12:30 PM - 1:00 PM",Agentic Infrastructure: Core Banking and the Org Chart of Tomorrow,FutureMatters Stage,"Hall 5, Singapore Expo",Premium,Technological Rewiring,,"Agentic AI has arrived faster than the organisational models built to absorb it, leaving institutions rebuilding core banking workflows and reporting lines at the same time. This session works through how leading financial institutions are sequencing that dual transformation, from credit and compliance workflows to the human-and-agent teams now running them. Attendees leave with a clearer sense of which capability and governance decisions cannot be deferred without stalling both efforts. For most institutions, there is still no playbook for rebuilding core banking workflows and the org chart together, and few are willing to attempt one alone.",代理式 AI 到來的速度，遠快於用來承接它的組織模式，機構因此得同時重建核心銀行流程與匯報線。本場次探討領先的金融機構如何安排這場雙重轉型的先後次序——從授信與法遵流程，到現在負責執行的人機協作團隊。與會者將更清楚看出，哪些能力與治理決策一旦拖延，就會讓兩邊的轉型一起卡住。對多數機構而言，同時重建核心銀行流程與組織圖仍然無例可循，也少有人願意獨自嘗試。,https://www.fintechfestival.sg/agenda?session=AGND416-agentic-infrastructure-core-banking-and-the-org-chart-of-tomorrow
